source,target,weight
bessie,joe,3
bessie,bronson,1
bessie,frisco kid,1
joe,fred,23
joe,reddy,1
joe,brick simpsons,3
joe,pit,1
joe,wilson,1
joe,dazzler,12
joe,pete,20
joe,frisco kid,14
joe,cockney,1
joe,bill,1
joe,lee,1
joe,nelson,2
joe,bronson,1
joe,tate,1
bronson,bronsonsaid,1
bronson,tate,1
frisco kid,dazzler,4
frisco kid,pete,3
frisco kid,nelson,1
fred,pit,1
fred,simpson,2
fred,charley,6
pit,chapter iv the,1
dazzler,pete,14
dazzler,bill,1
dazzler,lee,2
dazzler,uncle sams,1
dazzler,hunter,1
pete,bill,2
pete,uncle sams,1
pete,nelson,11
pete,snug,1
cockney,bill,2
nelson,frenchy,3
nelson,snug,1
pearl saythers,alice,1
pearl saythers,jessie hilborn,1
pearl saythers,sadie french,1
alice,jessie hilborn,1
alice,sadie french,1
jessie hilborn,sadie french,1
dick schofield,burt layton,1
goliath,david,1
